UA,United Airline
AA,American Airlines
US,US Airways
F9,Frontier Airlines
B6,JetBlue Airways
OO,Skywest Airlines
AS,Alaska Airlines
NK,Spirit Airlines
WN,Southwest Airlines
DL,Delta Airlines
EV,ExpressJet
HA,Hawaiian Airlines
MQ,American Eagle Airlines
VX,Virgin America
9E,Endeavor Air
FL,AirTran Airways
YV,Mesa Airlines Inc
AX,Trans States Airlines
CP,Compass AIrlines
YX,Republic Airways
G7,GoJet Airlines
ZW,Air Wisconsin Airlines
PT,Piedmont Airlines
G4,Allegiant Air
EM,Empire Airlines
OH,PSA Airlines
QX,Horizon Air
C5,CommutAir
KS,Peninsula Airways
9K,Cape Air
